,Date,year,Month,Weak,Count
31626,2014-11-06,2014.0,11.0,Thursday,1
23864,2014-11-06,2014.0,11.0,Thursday,1
22467,2014-11-06,2014.0,11.0,Thursday,1
38969,2014-11-06,2014.0,11.0,Thursday,1
40131,2014-11-07,2014.0,11.0,Friday,1
23153,2014-11-07,2014.0,11.0,Friday,1
6067,2014-11-07,2014.0,11.0,Friday,1
14992,2014-11-07,2014.0,11.0,Friday,1
43826,2014-11-07,2014.0,11.0,Friday,1
1766,2014-11-07,2014.0,11.0,Friday,1
43426,2014-11-08,2014.0,11.0,Saturday,1
28309,2014-11-08,2014.0,11.0,Saturday,1
18647,2014-11-08,2014.0,11.0,Saturday,1
1986,2014-11-08,2014.0,11.0,Saturday,1
34950,2014-11-08,2014.0,11.0,Saturday,1
23774,2014-11-08,2014.0,11.0,Saturday,1
40426,2014-11-09,2014.0,11.0,Sunday,1
41527,2014-11-09,2014.0,11.0,Sunday,1
40835,2014-11-09,2014.0,11.0,Sunday,1
8077,2014-11-09,2014.0,11.0,Sunday,1
2006,2014-11-09,2014.0,11.0,Sunday,1
42128,2014-11-09,2014.0,11.0,Sunday,1
20151,2014-11-09,2014.0,11.0,Sunday,1
17069,2014-11-09,2014.0,11.0,Sunday,1
42107,2014-11-09,2014.0,11.0,Sunday,1
39811,2014-11-09,2014.0,11.0,Sunday,1
12495,2014-11-10,2014.0,11.0,Monday,1
14340,2014-11-10,2014.0,11.0,Monday,1
7963,2014-11-10,2014.0,11.0,Monday,1
26846,2014-11-10,2014.0,11.0,Monday,1
32483,2014-11-10,2014.0,11.0,Monday,1
3183,2014-11-11,2014.0,11.0,Tuesday,1
28207,2014-11-11,2014.0,11.0,Tuesday,1
28219,2014-11-11,2014.0,11.0,Tuesday,1
14408,2014-11-11,2014.0,11.0,Tuesday,1
6582,2014-11-11,2014.0,11.0,Tuesday,1
1320,2014-11-12,2014.0,11.0,Wednesday,1
36940,2014-11-13,2014.0,11.0,Thursday,1
1150,2014-11-13,2014.0,11.0,Thursday,1
31301,2014-11-13,2014.0,11.0,Thursday,1
41534,2014-11-13,2014.0,11.0,Thursday,1
43250,2014-11-14,2014.0,11.0,Friday,1
18309,2014-11-14,2014.0,11.0,Friday,1
36998,2014-11-14,2014.0,11.0,Friday,1
5295,2014-11-14,2014.0,11.0,Friday,1
12100,2014-11-15,2014.0,11.0,Saturday,1
15936,2014-11-15,2014.0,11.0,Saturday,1
306,2014-11-15,2014.0,11.0,Saturday,1
4286,2014-11-15,2014.0,11.0,Saturday,1
33799,2014-11-15,2014.0,11.0,Saturday,1
15194,2014-11-15,2014.0,11.0,Saturday,1
25715,2014-11-16,2014.0,11.0,Sunday,1
41100,2014-11-16,2014.0,11.0,Sunday,1
4749,2014-11-16,2014.0,11.0,Sunday,1
43465,2014-11-16,2014.0,11.0,Sunday,1
2358,2014-11-16,2014.0,11.0,Sunday,1
25643,2014-11-16,2014.0,11.0,Sunday,1
23742,2014-11-16,2014.0,11.0,Sunday,1
37063,2014-11-16,2014.0,11.0,Sunday,1
22562,2014-11-16,2014.0,11.0,Sunday,1
31320,2014-11-16,2014.0,11.0,Sunday,1
34587,2014-11-16,2014.0,11.0,Sunday,1
15669,2014-11-17,2014.0,11.0,Monday,1
39950,2014-11-17,2014.0,11.0,Monday,1
21144,2014-11-17,2014.0,11.0,Monday,1
30207,2014-11-18,2014.0,11.0,Tuesday,1
31767,2014-11-18,2014.0,11.0,Tuesday,1
130,2014-11-18,2014.0,11.0,Tuesday,1
2246,2014-11-18,2014.0,11.0,Tuesday,1
2998,2014-11-18,2014.0,11.0,Tuesday,1
5959,2014-11-19,2014.0,11.0,Wednesday,1
35731,2014-11-20,2014.0,11.0,Thursday,1
32856,2014-11-20,2014.0,11.0,Thursday,1
40335,2014-11-20,2014.0,11.0,Thursday,1
41393,2014-11-20,2014.0,11.0,Thursday,1
21079,2014-11-20,2014.0,11.0,Thursday,1
43605,2014-11-20,2014.0,11.0,Thursday,1
2616,2014-11-21,2014.0,11.0,Friday,1
42239,2014-11-21,2014.0,11.0,Friday,1
15311,2014-11-21,2014.0,11.0,Friday,1
20322,2014-11-21,2014.0,11.0,Friday,1
27120,2014-11-22,2014.0,11.0,Saturday,1
41566,2014-11-22,2014.0,11.0,Saturday,1
8281,2014-11-22,2014.0,11.0,Saturday,1
12033,2014-11-22,2014.0,11.0,Saturday,1
17996,2014-11-22,2014.0,11.0,Saturday,1
1283,2014-11-22,2014.0,11.0,Saturday,1
36106,2014-11-22,2014.0,11.0,Saturday,1
12875,2014-11-23,2014.0,11.0,Sunday,1
39635,2014-11-23,2014.0,11.0,Sunday,1
41489,2014-11-23,2014.0,11.0,Sunday,1
1536,2014-11-24,2014.0,11.0,Monday,1
1658,2014-11-24,2014.0,11.0,Monday,1
20372,2014-11-24,2014.0,11.0,Monday,1
18665,2014-11-24,2014.0,11.0,Monday,1
38613,2014-11-25,2014.0,11.0,Tuesday,1
43831,2014-11-25,2014.0,11.0,Tuesday,1
22836,2014-11-26,2014.0,11.0,Wednesday,1
11237,2014-11-26,2014.0,11.0,Wednesday,1
13805,2014-11-26,2014.0,11.0,Wednesday,1
5565,2014-11-27,2014.0,11.0,Thursday,1
29871,2014-11-27,2014.0,11.0,Thursday,1
13606,2014-11-28,2014.0,11.0,Friday,1
35404,2014-11-28,2014.0,11.0,Friday,1
10840,2014-11-28,2014.0,11.0,Friday,1
35039,2014-11-28,2014.0,11.0,Friday,1
44665,2014-11-28,2014.0,11.0,Friday,1
32241,2014-11-28,2014.0,11.0,Friday,1
39844,2014-11-29,2014.0,11.0,Saturday,1
42217,2014-11-29,2014.0,11.0,Saturday,1
44724,2014-11-29,2014.0,11.0,Saturday,1
32960,2014-11-29,2014.0,11.0,Saturday,1
31055,2014-11-29,2014.0,11.0,Saturday,1
5157,2014-11-29,2014.0,11.0,Saturday,1
14943,2014-11-29,2014.0,11.0,Saturday,1
16242,2014-11-29,2014.0,11.0,Saturday,1
30405,2014-11-29,2014.0,11.0,Saturday,1
18808,2014-11-29,2014.0,11.0,Saturday,1
20221,2014-11-29,2014.0,11.0,Saturday,1
32300,2014-11-29,2014.0,11.0,Saturday,1
35675,2014-11-29,2014.0,11.0,Saturday,1
4151,2014-11-29,2014.0,11.0,Saturday,1
1124,2014-11-29,2014.0,11.0,Saturday,1
7978,2014-11-29,2014.0,11.0,Saturday,1
20410,2014-11-29,2014.0,11.0,Saturday,1
19231,2014-11-29,2014.0,11.0,Saturday,1
8621,2014-11-29,2014.0,11.0,Saturday,1
37983,2014-11-29,2014.0,11.0,Saturday,1
13368,2014-11-29,2014.0,11.0,Saturday,1
8124,2014-11-29,2014.0,11.0,Saturday,1
33298,2014-11-29,2014.0,11.0,Saturday,1
3690,2014-11-30,2014.0,11.0,Sunday,1
1844,2014-11-30,2014.0,11.0,Sunday,1
33286,2014-11-30,2014.0,11.0,Sunday,1
41430,2014-11-30,2014.0,11.0,Sunday,1
27949,2014-11-30,2014.0,11.0,Sunday,1
35908,2014-11-30,2014.0,11.0,Sunday,1
7199,2014-11-30,2014.0,11.0,Sunday,1
31763,2014-11-30,2014.0,11.0,Sunday,1
18338,2014-11-30,2014.0,11.0,Sunday,1
12811,2014-11-30,2014.0,11.0,Sunday,1
1376,2014-11-30,2014.0,11.0,Sunday,1
6677,2014-11-30,2014.0,11.0,Sunday,1
11091,2014-12-01,2014.0,12.0,Monday,1
17877,2014-12-01,2014.0,12.0,Monday,1
21532,2014-12-01,2014.0,12.0,Monday,1
43069,2014-12-01,2014.0,12.0,Monday,1
11741,2014-12-01,2014.0,12.0,Monday,1
41297,2014-12-01,2014.0,12.0,Monday,1
18061,2014-12-01,2014.0,12.0,Monday,1
44667,2014-12-01,2014.0,12.0,Monday,1
1693,2014-12-01,2014.0,12.0,Monday,1
3452,2014-12-01,2014.0,12.0,Monday,1
44687,2014-12-01,2014.0,12.0,Monday,1
22819,2014-12-01,2014.0,12.0,Monday,1
26996,2014-12-01,2014.0,12.0,Monday,1
9711,2014-12-01,2014.0,12.0,Monday,1
40596,2014-12-01,2014.0,12.0,Monday,1
42654,2014-12-01,2014.0,12.0,Monday,1
33145,2014-12-01,2014.0,12.0,Monday,1
33870,2014-12-01,2014.0,12.0,Monday,1
18139,2014-12-02,2014.0,12.0,Tuesday,1
35058,2014-12-02,2014.0,12.0,Tuesday,1
24787,2014-12-02,2014.0,12.0,Tuesday,1
34657,2014-12-02,2014.0,12.0,Tuesday,1
30504,2014-12-02,2014.0,12.0,Tuesday,1
42056,2014-12-02,2014.0,12.0,Tuesday,1
4019,2014-12-02,2014.0,12.0,Tuesday,1
14290,2014-12-02,2014.0,12.0,Tuesday,1
27388,2014-12-03,2014.0,12.0,Wednesday,1
20549,2014-12-03,2014.0,12.0,Wednesday,1
27986,2014-12-03,2014.0,12.0,Wednesday,1
30883,2014-12-03,2014.0,12.0,Wednesday,1
34756,2014-12-03,2014.0,12.0,Wednesday,1
24565,2014-12-03,2014.0,12.0,Wednesday,1
1608,2014-12-03,2014.0,12.0,Wednesday,1
4497,2014-12-03,2014.0,12.0,Wednesday,1
44403,2014-12-04,2014.0,12.0,Thursday,1
41267,2014-12-04,2014.0,12.0,Thursday,1
12930,2014-12-04,2014.0,12.0,Thursday,1
1552,2014-12-04,2014.0,12.0,Thursday,1
42959,2014-12-04,2014.0,12.0,Thursday,1
2169,2014-12-04,2014.0,12.0,Thursday,1
11580,2014-12-04,2014.0,12.0,Thursday,1
12268,2014-12-04,2014.0,12.0,Thursday,1
38838,2014-12-04,2014.0,12.0,Thursday,1
30513,2014-12-05,2014.0,12.0,Friday,1
27371,2014-12-05,2014.0,12.0,Friday,1
28546,2014-12-05,2014.0,12.0,Friday,1
40705,2014-12-05,2014.0,12.0,Friday,1
45553,2014-12-05,2014.0,12.0,Friday,1
30787,2014-12-05,2014.0,12.0,Friday,1
5758,2014-12-05,2014.0,12.0,Friday,1
40721,2014-12-05,2014.0,12.0,Friday,1
14178,2014-12-05,2014.0,12.0,Friday,1
17039,2014-12-05,2014.0,12.0,Friday,1
45817,2014-12-05,2014.0,12.0,Friday,1
39024,2014-12-05,2014.0,12.0,Friday,1
1574,2014-12-05,2014.0,12.0,Friday,1
18204,2014-12-06,2014.0,12.0,Saturday,1
33471,2014-12-06,2014.0,12.0,Saturday,1
35071,2014-12-06,2014.0,12.0,Saturday,1
19017,2014-12-06,2014.0,12.0,Saturday,1
34943,2014-12-06,2014.0,12.0,Saturday,1
31592,2014-12-06,2014.0,12.0,Saturday,1
36603,2014-12-06,2014.0,12.0,Saturday,1
44716,2014-12-06,2014.0,12.0,Saturday,1
12926,2014-12-06,2014.0,12.0,Saturday,1
37876,2014-12-06,2014.0,12.0,Saturday,1
22353,2014-12-06,2014.0,12.0,Saturday,1
1924,2014-12-06,2014.0,12.0,Saturday,1
33705,2014-12-06,2014.0,12.0,Saturday,1
2413,2014-12-06,2014.0,12.0,Saturday,1
18316,2014-12-06,2014.0,12.0,Saturday,1
30059,2014-12-06,2014.0,12.0,Saturday,1
7004,2014-12-06,2014.0,12.0,Saturday,1
1625,2014-12-06,2014.0,12.0,Saturday,1
25736,2014-12-06,2014.0,12.0,Saturday,1
37712,2014-12-06,2014.0,12.0,Saturday,1
23078,2014-12-07,2014.0,12.0,Sunday,1
21150,2014-12-07,2014.0,12.0,Sunday,1
39139,2014-12-07,2014.0,12.0,Sunday,1
9509,2014-12-07,2014.0,12.0,Sunday,1
2439,2014-12-07,2014.0,12.0,Sunday,1
39200,2014-12-07,2014.0,12.0,Sunday,1
