,Date,year,Month,Weak,Count
8335,2014-11-10,2014,11,Monday,5
5342,2014-11-10,2014,11,Monday,5
21680,2014-11-10,2014,11,Monday,5
9577,2014-11-10,2014,11,Monday,5
4415,2014-11-11,2014,11,Tuesday,5
2148,2014-11-11,2014,11,Tuesday,5
18845,2014-11-11,2014,11,Tuesday,5
18835,2014-11-11,2014,11,Tuesday,5
9627,2014-11-11,2014,11,Tuesday,5
888,2014-11-12,2014,11,Wednesday,1
27637,2014-11-13,2014,11,Thursday,4
769,2014-11-13,2014,11,Thursday,4
24625,2014-11-13,2014,11,Thursday,4
20876,2014-11-13,2014,11,Thursday,4
12211,2014-11-14,2014,11,Friday,4
28803,2014-11-14,2014,11,Friday,4
24662,2014-11-14,2014,11,Friday,4
3557,2014-11-14,2014,11,Friday,4
8087,2014-11-15,2014,11,Saturday,6
198,2014-11-15,2014,11,Saturday,6
2884,2014-11-15,2014,11,Saturday,6
10645,2014-11-15,2014,11,Saturday,6
22553,2014-11-15,2014,11,Saturday,6
10150,2014-11-15,2014,11,Saturday,6
3189,2014-11-16,2014,11,Sunday,11
17104,2014-11-16,2014,11,Sunday,11
15855,2014-11-16,2014,11,Sunday,11
20890,2014-11-16,2014,11,Sunday,11
15078,2014-11-16,2014,11,Sunday,11
17149,2014-11-16,2014,11,Sunday,11
28952,2014-11-16,2014,11,Sunday,11
24705,2014-11-16,2014,11,Sunday,11
23076,2014-11-16,2014,11,Sunday,11
1575,2014-11-16,2014,11,Sunday,11
27330,2014-11-16,2014,11,Sunday,11
14124,2014-11-17,2014,11,Monday,3
26575,2014-11-17,2014,11,Monday,3
10472,2014-11-17,2014,11,Monday,3
20136,2014-11-18,2014,11,Tuesday,5
2022,2014-11-18,2014,11,Tuesday,5
1498,2014-11-18,2014,11,Tuesday,5
21193,2014-11-18,2014,11,Tuesday,5
84,2014-11-18,2014,11,Tuesday,5
3997,2014-11-19,2014,11,Wednesday,1
29043,2014-11-20,2014,11,Thursday,6
14076,2014-11-20,2014,11,Thursday,6
23821,2014-11-20,2014,11,Thursday,6
27531,2014-11-20,2014,11,Thursday,6
26828,2014-11-20,2014,11,Thursday,6
21918,2014-11-20,2014,11,Thursday,6
28109,2014-11-21,2014,11,Friday,4
