,Date,year,Month,Weak,Count
1729,2015-03-16,2015,3,Monday,1
1732,2016-08-21,2016,8,Sunday,1
1733,2015-09-27,2015,9,Sunday,1
1737,2015-11-22,2015,11,Sunday,1
1738,2015-09-09,2015,9,Wednesday,1
1740,2014-12-08,2014,12,Monday,1
1741,2016-06-11,2016,6,Saturday,1
1742,2014-12-27,2014,12,Saturday,1
1743,2015-02-21,2015,2,Saturday,1
1744,2015-09-20,2015,9,Sunday,1
1745,2018-04-21,2018,4,Saturday,1
1746,2015-01-31,2015,1,Saturday,1
1747,2017-09-19,2017,9,Tuesday,1
1748,2018-05-05,2018,5,Saturday,1
1749,2017-05-14,2017,5,Sunday,1
1752,2017-05-30,2017,5,Tuesday,1
1753,2015-11-02,2015,11,Monday,1
1756,2016-09-07,2016,9,Wednesday,1
1757,2017-12-09,2017,12,Saturday,1
1758,2017-02-25,2017,2,Saturday,1
1759,2016-01-09,2016,1,Saturday,1
1760,2017-10-02,2017,10,Monday,1
1763,2015-01-10,2015,1,Saturday,1
1766,2015-03-28,2015,3,Saturday,1
1767,2016-06-13,2016,6,Monday,1
1768,2018-01-21,2018,1,Sunday,1
1769,2015-01-07,2015,1,Wednesday,1
1770,2016-01-08,2016,1,Friday,1
1771,2015-03-09,2015,3,Monday,1
1773,2014-11-07,2014,11,Friday,1
1776,2017-02-26,2017,2,Sunday,1
1780,2016-03-13,2016,3,Sunday,1
1782,2016-06-13,2016,6,Monday,1
1784,2015-06-06,2015,6,Saturday,1
1785,2018-05-15,2018,5,Tuesday,1
1786,2014-12-31,2014,12,Wednesday,1
1787,2017-10-28,2017,10,Saturday,1
1788,2015-03-29,2015,3,Sunday,1
1789,2016-05-14,2016,5,Saturday,1
1790,2016-01-31,2016,1,Sunday,1
1792,2015-09-03,2015,9,Thursday,1
1793,2015-03-08,2015,3,Sunday,1
1794,2015-05-23,2015,5,Saturday,1
1795,2016-08-26,2016,8,Friday,1
1796,2017-11-02,2017,11,Thursday,1
1798,2016-12-31,2016,12,Saturday,1
1800,2018-04-16,2018,4,Monday,1
1801,2017-06-12,2017,6,Monday,1
1804,2016-03-12,2016,3,Saturday,1
1805,2015-07-14,2015,7,Tuesday,1
1806,2017-05-29,2017,5,Monday,1
1807,2017-06-23,2017,6,Friday,1
1808,2016-05-07,2016,5,Saturday,1
1810,2016-05-16,2016,5,Monday,1
1811,2015-07-11,2015,7,Saturday,1
1814,2015-07-01,2015,7,Wednesday,1
1815,2017-06-06,2017,6,Tuesday,1
1817,2015-07-31,2015,7,Friday,1
1820,2015-06-18,2015,6,Thursday,1
1822,2017-03-21,2017,3,Tuesday,1
1824,2016-07-01,2016,7,Friday,1
1826,2015-05-27,2015,5,Wednesday,1
1827,2015-02-01,2015,2,Sunday,1
1828,2015-05-20,2015,5,Wednesday,1
1829,2015-07-20,2015,7,Monday,1
1830,2018-06-04,2018,6,Monday,1
1831,2017-05-15,2017,5,Monday,1
1833,2017-07-05,2017,7,Wednesday,1
1834,2018-03-10,2018,3,Saturday,1
1835,2016-03-25,2016,3,Friday,1
1837,2016-02-15,2016,2,Monday,1
1839,2015-11-25,2015,11,Wednesday,1
1841,2016-08-08,2016,8,Monday,1
1842,2017-04-11,2017,4,Tuesday,1
1843,2017-05-07,2017,5,Sunday,1
1844,2017-06-11,2017,6,Sunday,1
1845,2018-03-17,2018,3,Saturday,1
1846,2017-04-04,2017,4,Tuesday,1
1847,2017-09-26,2017,9,Tuesday,1
1848,2018-03-09,2018,3,Friday,1
1850,2018-01-14,2018,1,Sunday,1
1851,2014-11-30,2014,11,Sunday,1
1852,2017-11-26,2017,11,Sunday,1
1853,2018-05-12,2018,5,Saturday,1
1854,2016-04-03,2016,4,Sunday,1
1855,2016-05-15,2016,5,Sunday,1
1856,2016-08-13,2016,8,Saturday,1
1857,2017-10-30,2017,10,Monday,1
1858,2017-03-07,2017,3,Tuesday,1
1860,2016-07-09,2016,7,Saturday,1
1861,2018-05-08,2018,5,Tuesday,1
1862,2016-08-10,2016,8,Wednesday,1
1863,2015-10-17,2015,10,Saturday,1
1865,2017-03-17,2017,3,Friday,1
1867,2015-02-20,2015,2,Friday,1
1868,2018-01-21,2018,1,Sunday,1
1871,2015-05-16,2015,5,Saturday,1
1872,2016-03-14,2016,3,Monday,1
1873,2017-08-12,2017,8,Saturday,1
1874,2015-01-17,2015,1,Saturday,1
1875,2015-07-17,2015,7,Friday,1
1876,2016-12-27,2016,12,Tuesday,1
1877,2016-10-12,2016,10,Wednesday,1
1879,2017-04-10,2017,4,Monday,1
1881,2017-09-24,2017,9,Sunday,1
1882,2017-08-15,2017,8,Tuesday,1
1883,2016-07-12,2016,7,Tuesday,1
1884,2017-07-14,2017,7,Friday,1
1885,2015-06-10,2015,6,Wednesday,1
1886,2016-07-25,2016,7,Monday,1
1889,2016-06-16,2016,6,Thursday,1
1891,2015-10-28,2015,10,Wednesday,1
1893,2015-06-27,2015,6,Saturday,1
1894,2017-11-06,2017,11,Monday,1
1897,2017-08-26,2017,8,Saturday,1
1899,2018-05-17,2018,5,Thursday,1
1901,2014-10-22,2014,10,Wednesday,1
1902,2016-08-24,2016,8,Wednesday,1
1905,2017-11-05,2017,11,Sunday,1
1906,2016-08-12,2016,8,Friday,1
1908,2017-01-15,2017,1,Sunday,1
1910,2017-10-28,2017,10,Saturday,1
1911,2015-10-02,2015,10,Friday,1
1912,2015-09-24,2015,9,Thursday,1
1915,2016-06-04,2016,6,Saturday,1
1917,2016-10-07,2016,10,Friday,1
1918,2018-01-04,2018,1,Thursday,1
1919,2015-06-24,2015,6,Wednesday,1
1920,2017-11-29,2017,11,Wednesday,1
1921,2017-07-20,2017,7,Thursday,1
1922,2017-06-03,2017,6,Saturday,1
1923,2016-04-28,2016,4,Thursday,1
1924,2016-12-03,2016,12,Saturday,1
1925,2018-02-22,2018,2,Thursday,1
1928,2017-07-17,2017,7,Monday,1
1929,2015-08-17,2015,8,Monday,1
1930,2016-02-20,2016,2,Saturday,1
1931,2014-12-06,2014,12,Saturday,1
1933,2015-07-13,2015,7,Monday,1
1935,2017-10-13,2017,10,Friday,1
1937,2018-02-17,2018,2,Saturday,1
1938,2017-07-27,2017,7,Thursday,1
1944,2015-09-04,2015,9,Friday,1
